Actual,Predicted
47106.8,45162.51730793257
61190.15,62767.23988273974
133755.0,134443.80992796185
83817.51,84683.7274706556
4064.46,3783.131775697133
1859.76,1856.095869498895
83774.09,86551.48207700609
1085.87,1864.3233938250778
40487.54,43858.42000543279
55995.18,54954.31936060806
67247.11,69410.64058579705
105496.78,102138.84787114867
58874.94,57220.51211024822
7014.91,5753.952206291593
7998.63,4466.0136796237275
70954.7,68512.66016541391
54703.03,54088.47710775066
875.0,-2562.273362342705
116531.16,114987.73317081394
68050.09,72934.3203999486
68201.42,71352.41837995971
2737.83,2179.811048375428
14935.99,13987.783311867439
74973.01,76914.4399327313
52699.64,51977.09168309212
53680.5,52136.06737635624
96862.69,93358.43267405806
39097.0,38034.87421405378
58590.06,60728.27613527386
3169.25,1407.0255835705466
90713.0,90218.53589356082
56033.36,56702.87875290598
83125.74,84011.4229452028
2686.43,-759.0434602831665
88887.16,91689.2525132027
109961.03,112399.31274079523
69841.59,70190.31315412176
72888.0,74427.99009252466
47350.96,44320.90438314234
1200.0,-355.11614780417585
106774.83,104507.85257060113
43892.82,40630.43827310922
94102.58,94796.4432596099
50956.39,51256.9173279591
13414.59,11653.181343478282
14520.26,10850.138369188891
2962.11,3504.7167983918334
87170.18,90094.91542836968
10806.34,11618.99213282582
53576.24,52221.70341391973
81064.74,83321.29600814979
923.0,-2483.551809704899
91578.41,92685.12949173516
19103.37,20651.918479745837
10971.7,10316.813618411332
15044.14,15368.924560921201
104724.62,101344.83936839289
4235.28,3717.8726135678953
5179.87,6247.139595180044
7166.75,3650.413932165604
41361.23,41228.22017144927
120937.01,117152.91498122521
68069.56,72402.43512892937
18245.74,17399.444057508168
118094.1,113337.3921137528
76854.45,79389.97413352928
16549.28,15971.182535694868
6614.46,6969.283684120208
2441.46,441.89973153872415
1821.85,-1102.1962096602074
104602.22,103042.92680644512
30004.26,28592.951259981455
119794.31,117523.60561152254
126890.69,126701.4689584574
4089.99,4440.38363174587
108011.19,110511.17641996541
98753.04,97550.81227692378
11411.61,12045.152681127125
20867.7,21098.433496920843
65092.18,62765.035918466594
56430.92,54453.79926277672
100747.63,102532.0056300759
58561.51,56302.27806540339
64162.42,62399.23297118429
18910.16,16733.04654561935
134536.18,134957.6119611836
4176.47,2714.9310963724347
6389.5,7225.3260726290755
3575.36,2721.404285160468
99121.98,103121.77914212452
79405.82,78928.46656770837
52092.95,50346.663815343745
13015.41,11241.669891230595
6508.79,7708.670981626892
68275.44,71398.7357372705
59965.02,58886.54809670381
10895.42,7792.518749209499
49491.27,51444.16951993362
50271.6,50734.99511456361
78714.09,80126.30839654602
4049.66,4655.623264048096
52874.22,52063.00163459449
63324.17,62662.98592035712
20251.65,17086.555564499577
78280.5,80855.87510681641
2456.96,-846.2162179126462
6948.74,9032.76847413824
65448.0,66514.60284025456
132100.45,127168.12863181859
4974.35,4104.439354269671
70507.07,68347.52485161505
46300.76,50365.52115045651
11045.37,11706.71180998574
5803.99,5070.459939648797
44600.91,43425.246287228816
106506.14,103150.03679878713
8174.71,4923.13541691369
99475.66,95528.61981854899
22009.69,24544.769916412348
69566.44,67613.36196108248
83841.67,79176.38600883234
80877.55,81797.09402649176
92031.53,91001.82344472074
75142.72,75849.62238275568
56610.7,61017.050770136106
51993.92,52932.4654048289
61985.01,61248.38332310174
99608.47,96953.97145161696
73950.34,75290.58201349225
77703.61,82117.79652362666
137814.47,134045.6745823624
50688.0,52050.12665121334
43773.91,47621.40941840068
53078.97,53091.26706689354
70632.48,75282.33016817132
72581.98,76263.1125022629
78147.66,79393.47969344936
18303.7,17259.33343882185
95204.06,98860.47865798877
52646.43,52880.398417232165
2515.79,2060.5879510012674
13748.93,10423.578840384143
55733.73,57826.13493697393
43267.24,47799.917743549806
93969.57,97707.39517801642
59132.25,57453.40560433151
14771.36,13390.326632378172
61213.35,62329.52506130971
128763.06,126616.94539329664
59639.61,57778.15949880055
72328.05,75911.08581838217
56673.0,54521.69194201743
57316.69,61126.96393783146
60904.11,64584.41921873045
92421.01,93563.63026498797
58932.49,57152.65424993061
141759.17,139575.22928075786
113676.37,112518.11098075216
4559.55,3743.1153832157725
73558.45,71563.91293103345
11908.76,12223.604688716332
101867.24,103800.1974845842
85516.3,87495.16370083932
61427.16,64262.709277617105
7490.31,8339.193338419318
7660.0,6887.999590055522
135752.28,137625.55561813212
8785.9,7988.275531070147
95336.04,94508.86862128398
135211.79,134846.0851742273
26476.22,26455.6115698088
38329.08,38992.68951005956
160545.56,160743.4288493209
48430.46,52163.20081961774
7016.41,6337.1346298027565
148320.39,145443.0305134803
53620.59,55758.01962383671
81903.53,84792.37237947271
5011.82,2013.3246875101468
122868.11,120933.27777404065
89869.62,87018.03993990216
74063.28,72001.0724938846
60565.63,61115.74647754051
80198.23,82468.0294470443
116599.26,112537.79561336666
3124.71,3486.0703364597357
163929.74,158710.9352878324
68357.72,71132.33720176137
9072.1,5519.730571762659
18594.0,18310.009093704488
83279.22,83712.07659636652
8232.23,4696.318011312134
53446.11,50779.46255353797
79314.65,76046.55878139498
39954.56,37396.942653545644
79477.01,76836.05974719467
24633.98,26841.095697880257
64602.41,62819.83614782466
63291.83,64341.42165562827
38754.92,38826.96146479489
56734.32,55907.21701385925
57540.75,60192.64749337172
41842.45,42297.16226621722
124507.67,123590.07227551023
136761.12,135831.69068463007
53539.4,51994.67260611907
61329.13,64985.53792380498
11122.29,10353.145550795758
70551.41,68117.87678842028
28781.42,27718.51104026514
74120.89,72154.41703823511
7387.1,7132.860764288089
78959.03,82441.75333622227
62783.24,63881.44938938259
68642.07,73232.48530549282
142973.52,139590.1992737305
9445.33,10333.394694978539
130282.72,128366.61692661759
123322.03,119707.60292459783
5982.0,7003.250050119052
43493.77,41722.57852289916
104244.01,104679.07602396766
615.9,-2732.254977680059
59093.0,58859.68048907206
88331.73,91138.91599221576
6103.61,2608.352557716884
62441.99,61444.31074156009
10425.3,8733.364840544433
66761.6,64402.189285394736
98847.01,99447.623090846
55533.29,53882.08833867083
24332.48,23178.64143333769
76496.88,79039.88345193461
134702.75,130705.19766257826
212.39,-2799.8636860412953
53026.2,57563.00119335378
40448.1,39750.03881900429
60188.49,62148.33636166212
68040.57,67767.55423693488
45918.7,44309.34548532439
10782.23,7469.310703304021
9261.73,7595.759991636078
8258.03,7472.741314111525
8300.32,9447.561326896503
104830.01,105698.57804914753
137155.1,133021.9945351702
60747.43,65124.353771899405
91838.8,90369.54034968557
22454.05,25278.113606061263
236.68,-3199.3666285737636
22712.25,18820.161457264403
70362.07,71926.24427172392
99090.42,102091.34501707938
100039.2,96862.46005790896
127401.29,126930.5313510773
54572.99,53770.317742244326
72645.52,75744.89388949508
136540.09,135859.7209482647
69080.47,67034.63370207955
61736.36,63315.1800047054
120510.28,118279.68066776979
40146.0,38788.29889446744
67202.4,67969.76016024071
63498.6,64473.96540322725
7338.77,5936.987534578504
8064.12,7257.446505075983
64643.51,69059.84899715529
482.11,45526.21035315828
63287.29,61111.9941503746
60320.29,59522.323086139135
46821.92,49316.00305497886
40656.8,38906.442876591995
121702.2,118539.56505605226
30583.54,34437.977774085244
28068.6,26798.703107815014
72963.01,74006.00346466008
113733.12,113819.5717396198
53806.5,57098.77009364235
84837.07,89014.90728182658
79151.44,80528.46444783272
39705.94,39325.24774955468
13271.85,11620.146545773969
115919.71,118107.73782412126
67794.18,66698.96069734462
79532.08,81304.94815187494
5134.65,1732.5098317454394
36616.78,35711.280274442826
25887.2,24420.193164428543
18811.23,18247.32380048192
56888.0,54731.48130093634
95961.53,96622.70463310015
83450.79,81685.53923451697
92496.03,92466.08529147884
9068.68,8264.636704211065
79292.55,81748.80330526561
105346.83,107652.84714542887
123747.05,125343.79755732285
105843.98,102507.76049027774
121222.23,119342.62539617828
56861.02,60645.91697165545
3541.43,1965.5625602690634
30680.8,26551.239448384218
2482.65,3265.9545651481894
2745.36,2062.660257213436
4711.87,3116.9859676992783
38500.28,36818.82772838576
54291.62,56746.07068794405
101476.67,102023.39903567113
118033.6,118131.43254166715
19008.31,18073.25592705333
178502.01,174472.27305132413
71066.01,70326.61685619791
70967.88,67169.05587815667
5675.86,4364.993615827654
1044.87,379.3751710433935
18837.28,16096.44196533088
12345.5,12897.46267409432
12252.9,11811.089570574215
62736.8,62191.24911559034
82877.25,87317.6848469323
58640.07,61071.32603889482
43404.38,42682.98447415375
57004.65,61152.28916824631
81044.59,85055.92481088304
48196.16,48849.902900107845
57477.0,60708.16927388746
118553.84,118224.5168531627
70168.51,73966.821304893
1981.51,2748.645529469133
35663.79,34222.93290596244
13737.52,13330.969356920454
45610.09,45249.051431572116
78101.64,75494.18218597806
34137.5,32602.694037828864
8925.88,6117.31575969456
107069.0,105634.29396282819
38107.32,36130.9064682966
126340.0,127661.65111351832
89041.81,92380.10002901545
80268.33,78152.18172291579
84660.0,85990.02589542346
94827.06,96291.8223336544
62772.17,59761.7163964361
82984.48,82507.80583501435
17067.66,17937.345780772026
120904.1,122007.99861493897
137143.54,131012.42963643017
94425.42,95331.73084939073
54509.03,54462.698170397634
68211.0,69441.78816463487
50745.54,48312.557132923714
78019.89,75958.10576075892
16624.04,15628.038660633945
136777.28,134666.4203846603
80439.03,77778.39081457525
56686.78,60916.54528777949
5343.77,5994.399366289581
85185.02,86041.55027351748
15448.81,14841.271491563639
38006.41,36955.88520089071
31660.7,29880.011422844993
