iter	Passed	Remaining
678	5385	2546
679	5393	2538
680	5400	2529
681	5408	2521
682	5416	2513
683	5425	2506
684	5449	2505
685	5512	2523
686	5530	2519
687	5538	2511
688	5551	2505
689	5558	2497
690	5567	2489
691	5575	2481
692	5583	2473
693	5592	2465
694	5600	2457
695	5608	2449
696	5617	2441
697	5624	2433
698	5632	2425
699	5639	2417
700	5649	2409
701	5657	2401
702	5665	2393
703	5673	2385
704	5682	2377
705	5691	2370
706	5701	2362
707	5708	2354
708	5717	2346
709	5724	2338
710	5733	2330
711	5741	2322
712	5750	2314
713	5757	2306
714	5766	2298
715	5779	2292
716	5787	2284
717	5798	2277
718	5805	2269
719	5814	2261
720	5822	2252
721	5830	2245
722	5838	2237
723	5847	2229
724	5856	2221
725	5864	2213
726	5871	2204
727	5879	2196
728	5887	2188
729	5895	2180
730	5903	2172
731	5910	2164
732	5919	2156
733	5927	2148
734	5935	2139
735	5943	2132
736	5951	2123
737	5958	2115
738	5967	2107
739	5976	2099
740	5985	2091
741	5993	2083
742	6001	2075
743	6009	2067
744	6016	2059
745	6025	2051
746	6033	2043
747	6041	2035
748	6049	2027
749	6056	2018
750	6065	2011
751	6075	2003
752	6083	1995
753	6093	1987
754	6100	1979
755	6111	1972
756	6121	1964
757	6130	1957
758	6140	1949
759	6150	1942
760	6161	1935
761	6171	1927
762	6183	1920
763	6194	1913
764	6204	1905
765	6219	1899
766	6230	1892
767	6239	1884
768	6248	1877
769	6258	1869
770	6269	1862
771	6278	1854
772	6288	1846
773	6298	1839
774	6308	1831
775	6318	1824
776	6327	1816
777	6338	1808
778	6349	1801
779	6357	1793
780	6367	1785
781	6376	1777
782	6386	1770
783	6395	1762
784	6407	1754
785	6417	1747
786	6426	1739
787	6436	1731
788	6446	1724
789	6454	1715
790	6463	1707
791	6470	1699
792	6477	1690
793	6485	1682
794	6494	1674
795	6502	1666
796	6510	1658
797	6518	1649
798	6525	1641
799	6533	1633
800	6541	1625
801	6549	1616
802	6557	1608
803	6565	1600
804	6573	1592
805	6581	1584
806	6591	1576
807	6599	1568
808	6609	1560
809	6615	1551
810	6624	1543
811	6632	1535
812	6640	1527
813	6648	1519
814	6657	1511
815	6666	1503
816	6674	1495
817	6682	1486
818	6690	1478
819	6698	1470
820	6706	1462
821	6713	1453
822	6721	1445
823	6728	1437
824	6737	1429
825	6744	1420
826	6751	1412
827	6760	1404
828	6767	1395
829	6775	1387
830	6782	1379
831	6791	1371
832	6798	1362
833	6806	1354
834	6813	1346
835	6821	1338
836	6828	1329
837	6836	1321
838	6844	1313
839	6852	1305
840	6859	1296
841	6867	1288
842	6875	1280
843	6881	1271
844	6890	1263
845	6897	1255
846	6907	1247
847	6915	1239
848	6923	1231
849	6930	1222
850	6937	1214
851	6945	1206
852	6954	1198
853	6962	1190
854	6970	1182
855	6978	1173
856	6987	1165
857	6994	1157
858	7003	1149
859	7010	1141
860	7018	1133
861	7026	1124
862	7034	1116
863	7041	1108
864	7048	1100
865	7056	1091
866	7064	1083
867	7072	1075
868	7080	1067
869	7088	1059
870	7096	1050
871	7105	1042
872	7112	1034
873	7120	1026
874	7127	1018
875	7136	1010
876	7143	1001
877	7151	993
878	7159	985
879	7167	977
880	7174	969
